# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6e19921bc60
# CUDA_DEVICE 0 Tesla C1060
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b,gld_request,gst_request,tex_cache_hit,tex_cache_miss
123a81532fd7a620,memcpyDtoH,3.968,47,,,,,,,,,,,0,0,4,0
123a81532fd83fc0,_Z12jacobikernelPfS_S_iifff,25.632,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fd8b320,_Z15reductionkernelPfi,4.128,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fd8db00,memcpyDtoH,3.968,47,,,,,,,,,,,0,0,4,0
123a81532fd9fc20,_Z12jacobikernelPfS_S_iifff,25.536,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fda6f00,_Z15reductionkernelPfi,4.096,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fda9680,memcpyDtoH,3.936,44,,,,,,,,,,,0,0,4,0
123a81532fdb3680,_Z12jacobikernelPfS_S_iifff,25.76,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fdbaaa0,_Z15reductionkernelPfi,4.16,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fdbd280,memcpyDtoH,3.936,47,,,,,,,,,,,0,0,4,0
123a81532fdc6f60,_Z12jacobikernelPfS_S_iifff,25.536,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fdce240,_Z15reductionkernelPfi,4.224,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fdd0a60,memcpyDtoH,3.936,46,,,,,,,,,,,0,0,4,0
123a81532fddb6a0,_Z12jacobikernelPfS_S_iifff,25.664,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fde29e0,_Z15reductionkernelPfi,4.16,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fde51a0,memcpyDtoH,3.968,45,,,,,,,,,,,0,0,4,0
123a81532fdef180,_Z12jacobikernelPfS_S_iifff,25.952,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fdf6620,_Z15reductionkernelPfi,4.096,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fdf8da0,memcpyDtoH,3.936,48,,,,,,,,,,,0,0,4,0
123a81532fe02840,_Z12jacobikernelPfS_S_iifff,25.76,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fe09c20,_Z15reductionkernelPfi,4.128,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fe0c440,memcpyDtoH,3.936,46,,,,,,,,,,,0,0,4,0
123a81532fe16020,_Z12jacobikernelPfS_S_iifff,25.664,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fe1d3a0,_Z15reductionkernelPfi,4.192,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fe1fb60,memcpyDtoH,3.968,46,,,,,,,,,,,0,0,4,0
123a81532fe29560,_Z12jacobikernelPfS_S_iifff,25.6,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fe30880,_Z15reductionkernelPfi,4.224,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fe330a0,memcpyDtoH,4.032,47,,,,,,,,,,,0,0,4,0
123a81532fe3cc20,_Z12jacobikernelPfS_S_iifff,25.632,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fe43f60,_Z15reductionkernelPfi,4.128,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fe46720,memcpyDtoH,4,46,,,,,,,,,,,0,0,4,0
123a81532fe50560,_Z12jacobikernelPfS_S_iifff,25.664,6,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fe578c0,_Z15reductionkernelPfi,4.192,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fe5a0a0,memcpyDtoH,4.128,47,,,,,,,,,,,0,0,4,0
123a81532fe64ca0,_Z12jacobikernelPfS_S_iifff,25.44,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fe6bf60,_Z15reductionkernelPfi,4.096,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
