# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6e19a4fc370
# CUDA_DEVICE 0 Tesla C1060
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b,gld_request,gst_request,tex_cache_hit,tex_cache_miss
123a808153e56720,_Z12jacobikernelPfS_S_iifff,11.648,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1390,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153e5a520,_Z15reductionkernelPfi,4.032,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153e5cc80,memcpyDtoH,3.968,33,,,,,,,,,,,0,0,4,0
123a808153e6e840,_Z12jacobikernelPfS_S_iifff,11.168,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1391,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153e72400,_Z15reductionkernelPfi,4.032,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153e74b20,memcpyDtoH,3.968,29,,,,,,,,,,,0,0,4,0
123a808153e7e6a0,_Z12jacobikernelPfS_S_iifff,11.392,5,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1386,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153e82260,_Z15reductionkernelPfi,4.064,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153e849c0,memcpyDtoH,3.968,31,,,,,,,,,,,0,0,4,0
123a808153e8e4a0,_Z12jacobikernelPfS_S_iifff,11.232,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1391,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153e91fa0,_Z15reductionkernelPfi,4.128,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153e947e0,memcpyDtoH,4,32,,,,,,,,,,,0,0,4,0
123a808153e9e040,_Z12jacobikernelPfS_S_iifff,11.392,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1387,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153ea1da0,_Z15reductionkernelPfi,4.032,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153ea44e0,memcpyDtoH,3.968,32,,,,,,,,,,,0,0,4,0
123a808153eae280,_Z12jacobikernelPfS_S_iifff,11.168,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1387,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153eb1d40,_Z15reductionkernelPfi,4,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153eb44a0,memcpyDtoH,4,33,,,,,,,,,,,0,0,4,0
123a808153ebdec0,_Z12jacobikernelPfS_S_iifff,11.392,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1386,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153ec1bc0,_Z15reductionkernelPfi,4,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153ec4300,memcpyDtoH,3.936,33,,,,,,,,,,,0,0,4,0
