# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6e1ff38a518
# CUDA_DEVICE 0 Tesla C1060
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b,gld_request,gst_request,tex_cache_hit,tex_cache_miss
123a3db850a6bb60,_Z15reductionkernelPfi,6.08,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850a6eaa0,memcpyDtoH,4.096,313,,,,,,,,,,,0,0,4,0
123a3db850a78520,_Z12jacobikernelPfS_S_iifff,292.896,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850ac0c40,_Z15reductionkernelPfi,6.176,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850ac3bc0,memcpyDtoH,3.904,316,,,,,,,,,,,0,0,4,0
123a3db850acd700,_Z12jacobikernelPfS_S_iifff,283.552,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48150,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850b139a0,_Z15reductionkernelPfi,6.048,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850b16880,memcpyDtoH,3.936,306,,,,,,,,,,,0,0,4,0
123a3db850b20360,_Z12jacobikernelPfS_S_iifff,294.816,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850b69220,_Z15reductionkernelPfi,6.112,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850b6c120,memcpyDtoH,3.904,317,,,,,,,,,,,0,0,4,0
123a3db850b75da0,_Z12jacobikernelPfS_S_iifff,285.664,5,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850bbc880,_Z15reductionkernelPfi,6.016,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850bbf760,memcpyDtoH,3.968,308,,,,,,,,,,,0,0,4,0
123a3db850bd2b00,_Z12jacobikernelPfS_S_iifff,282.336,5,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850c188e0,_Z15reductionkernelPfi,6.272,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850c1b8a0,memcpyDtoH,3.904,302,,,,,,,,,,,0,0,4,0
123a3db850c25e80,_Z12jacobikernelPfS_S_iifff,287.904,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850c6d220,_Z15reductionkernelPfi,6.016,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1037,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850c70100,memcpyDtoH,3.904,311,,,,,,,,,,,0,0,4,0
123a3db850c79e20,_Z12jacobikernelPfS_S_iifff,292.64,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850cc2440,_Z15reductionkernelPfi,6.24,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850cc53c0,memcpyDtoH,4.064,316,,,,,,,,,,,0,0,4,0
123a3db850ccf440,_Z12jacobikernelPfS_S_iifff,300.064,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850d19760,_Z15reductionkernelPfi,6.048,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850d1c640,memcpyDtoH,3.904,323,,,,,,,,,,,0,0,4,0
123a3db850d26500,_Z12jacobikernelPfS_S_iifff,287.392,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850d6d6a0,_Z15reductionkernelPfi,6.176,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850d70680,memcpyDtoH,3.936,310,,,,,,,,,,,0,0,4,0
123a3db850d7a180,_Z12jacobikernelPfS_S_iifff,297.536,5,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850dc3ac0,_Z15reductionkernelPfi,6.08,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850dc69e0,memcpyDtoH,3.968,320,,,,,,,,,,,0,0,4,0
123a3db850dd0380,_Z12jacobikernelPfS_S_iifff,308.768,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850e1c8a0,_Z15reductionkernelPfi,6.048,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850e1f780,memcpyDtoH,3.936,330,,,,,,,,,,,0,0,4,0
123a3db850e29760,_Z12jacobikernelPfS_S_iifff,287.392,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850e70900,_Z15reductionkernelPfi,6.016,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1034,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850e73840,memcpyDtoH,3.904,311,,,,,,,,,,,0,0,4,0
123a3db850e7d260,_Z12jacobikernelPfS_S_iifff,291.488,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850ec5400,_Z15reductionkernelPfi,6.08,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850ec8340,memcpyDtoH,3.904,314,,,,,,,,,,,0,0,4,0
123a3db850ed2360,_Z12jacobikernelPfS_S_iifff,280.896,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850f17ba0,_Z15reductionkernelPfi,6.176,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850f1aae0,memcpyDtoH,3.936,305,,,,,,,,,,,0,0,4,0
123a3db850f248e0,_Z12jacobikernelPfS_S_iifff,305.984,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850f70340,_Z15reductionkernelPfi,6.208,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850f732c0,memcpyDtoH,3.936,329,,,,,,,,,,,0,0,4,0
123a3db850f7cf20,_Z12jacobikernelPfS_S_iifff,291.904,5,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db850fc5260,_Z15reductionkernelPfi,5.984,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db850fc8140,memcpyDtoH,3.936,314,,,,,,,,,,,0,0,4,0
123a3db850fd21c0,_Z12jacobikernelPfS_S_iifff,285.632,5,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db851018ca0,_Z15reductionkernelPfi,6.112,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1041,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db85101bbc0,memcpyDtoH,3.936,308,,,,,,,,,,,0,0,4,0
123a3db851025600,_Z12jacobikernelPfS_S_iifff,285.888,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db85106c1c0,_Z15reductionkernelPfi,5.92,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db85106f080,memcpyDtoH,3.936,308,,,,,,,,,,,0,0,4,0
123a3db851078960,_Z12jacobikernelPfS_S_iifff,298.784,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db8510c2780,_Z15reductionkernelPfi,6.016,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db8510c5660,memcpyDtoH,4,321,,,,,,,,,,,0,0,4,0
123a3db8510cf640,_Z12jacobikernelPfS_S_iifff,315.52,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
123a3db85111d5c0,_Z15reductionkernelPfi,6.048,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,200,1,1042,0,1,0,64,0,2,0,0,0,64,0,1,0,0,32,1,0,0
123a3db8511204c0,memcpyDtoH,3.936,339,,,,,,,,,,,0,0,4,0
123a3db851129de0,_Z12jacobikernelPfS_S_iifff,296.864,4,0.75,32,32,1,16,16,1,0,1084,17,0,-1,,0,5320,35,48149,0,103,0,24102,0,11742,0,0,8240,8240,7622,927,824,824,2800,315,0,0
