Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
62	3	107	0.099941	0.00257	0.093473			2.2438	
142	7	417	0.09977	0.01265	0.107736			9.3051	
222	11	662	0.099937	0.03633	0.135678			12.5723	
302	15	877	0.099854	0.06809	0.171427			16.4466	
382	19	1219	0.099915	0.13928	0.0249717			17.8807	
462	23	1491	0.099945	0.23008	0.342504			19.3649	
542	27	1764	0.099945	0.3627	0.480507			20.0022	
622	31	2038	0.099945	0.53518	0.657334			20.6259	
702	35	2281	0.099976	0.7473	0.875756			21.0587	
782	39	2588	0.099976	1.04021	1.17394			21.3002	
862	43	2865	0.099976	1.38574	1.522857			21.5072	
942	47	3142	0.099976	1.79909	1.940812			21.6961	
1022	51	3419	0.099976	2.31764	2.464475			21.5716	
1102	55	3698	0.099976	2.8658	3.017371			21.9387	
1182	59	3975	0.099976	3.53343	3.689286			22.0041	
1262	63	4255	0.099945	4.29242	4.45431			22.1026	
2062	103	7050	0.099976	18.71911	18.937981			22.4196	
4102	205	14253	0.099976	148.13084	149.327377			22.6663	

