Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
82	5	226	0.099987	0.00478	0.098378			4.4483	
178	11	536	0.09996	0.0209	0.119305			11.3749	
274	17	855	0.099945	0.05205	0.154367			17.2656	
370	23	1178	0.099976	0.11353	0.221211			19.8872	
466	29	1504	0.099976	0.21476	0.329924			21.2912	
562	35	1832	0.09996	0.36279	0.483404			22.329	
658	41	2161	0.099991	0.57059	0.694711			22.9566	
754	47	2492	0.099976	0.85116	0.98432			23.3029	
850	53	2824	0.099976	1.21012	1.347714			23.6049	
946	59	3156	0.099945	1.65865	1.851463			23.8392	
1042	65	3490	0.099945	2.21466	2.364088			23.9542	
1138	71	3823	0.099976	2.87765	3.03134			24.0868	
1234	77	4157	0.099976	3.66627	3.826749			24.1721	
2050	128	7011	0.099976	16.82424	17.039873			24.5177	
4098	256	14239	0.099976	135.812	136.194366			24.6498	

