Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
44	3	85	0.099482	0.00146	0.095279			1.5801	
86	6	240	0.099632	0.0045	0.098501			5.5234	
128	9	374	0.099556	0.00854	0.104799			10.0412	
170	12	511	0.099831	0.01736	0.115847			11.9114	
212	15	649	0.099945	0.02822	0.130317			14.4708	
254	18	789	0.09996	0.04427	0.147228			16.0979	
296	21	929	0.099976	0.06719	0.170814			16.9599	
338	24	1062	0.099968	0.09714	0.203093			17.4857	
380	27	1189	0.099991	0.1348	0.246002			17.832	
422	30	1355	0.099991	0.18132	0.29372			18.6318	
464	33	1498	0.09996	0.24032	0.355362			18.788	
506	36	1642	0.09996	0.30775	0.426886			19.1253	
548	39	1785	0.09996	0.38667	0.506679			19.4082	
590	42	1929	0.09996	0.47972	0.602905			19.5965	
632	45	2073	0.099976	0.5885	0.713328			19.6978	
674	48	2218	0.09993	0.70961	0.836839			19.8787	
716	51	2362	0.099976	0.85085	0.980914			19.9241	
758	54	2507	0.099976	1.00883	1.181744			19.9896	
800	57	2652	0.099976	1.18401	1.318865			20.069	
842	60	2768	0.099976	1.36198	1.498234			20.172	
884	63	2942	0.099976	1.59449	1.736527			20.1861	
926	66	3078	0.099976	1.59499	1.736527			20.1861	
968	69	3234	0.099945	2.08985	2.235408			20.3003	
1010	72	3380	0.099976	2.37601	2.524579			20.3161	
1052	75	3524	0.099976	2.68331	2.833725			20.3481	
1094	78	3671	0.099976	3.01513	3.168472			20.4005	
1136	81	3816	0.099976	3.37482	3.530766			20.4288	
1178	84	3945	0.099976	3.74961	3.907716			20.4399	
1220	87	4108	0.099976	4.18268	4.343298			20.4655	
2046	146	6998	0.099976	19.9062	20.123468			20.6027	
4104	293	14262	0.099976	162.40031	162.867813			20.7079	

