Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
62	3	107	0.099941	0.00227	0.099922			2.5404	
142	7	417	0.09977	0.01137	0.107869			10.355	
222	11	663	0.099937	0.03548	0.137485			12.8947	
302	15	878	0.099854	0.06737	0.171906			16.6401	
382	19	1220	0.099915	0.14193	0.268714			17.5611	
462	23	1492	0.099945	0.23504	0.349386			18.9687	
542	27	1765	0.099945	0.37455	0.494478			19.3803	
622	31	2039	0.099945	0.55539	0.679401			19.8852	
702	35	2282	0.099976	0.77713	0.90604			20.2594	
782	39	2589	0.099976	1.0832	1.217323			20.4629	
862	43	2866	0.099976	1.44697	1.584966			20.6044	
942	47	3143	0.099976	1.89272	2.085346			20.6295	
1022	51	3420	0.099976	2.41388	2.562035			20.7177	
1102	55	3699	0.099976	3.00357	3.156728			20.9381	
1182	59	3976	0.099976	3.7044	4.075542			20.9938	
1262	63	4256	0.099945	4.50406	4.667981			24.069	
2062	103	7051	0.099976	19.68355	19.899525			21.3232	
4102	205	14254	0.099976	155.34435	155.727402			21.6153	

