Matrix Size	Grid Size	No of iterations	Residual	GPU Time Taken	Total Time	Memory Throughput	Instruction Throughput	GFLOPS	Occupancy
82	5	226	0.099987	0.00462	0.100439			4.6016	
130	8	379	0.09996	0.01017	0.106143			8.817	
178	11	536	0.09996	0.01997	0.121386			11.9051	
226	14	695	0.099915	0.03081	0.131918			16.1304	
274	17	855	0.099945	0.0493	0.15427			18.2294	
322	20	1016	0.09993	0.07427	0.181053			19.8576	
370	23	1178	0.099976	0.10535	0.217679			21.4315	
418	26	1341	0.09996	0.14526	0.259039			22.5825	
466	29	1504	0.099976	0.19597	0.310402			23.3319	
514	32	1668	0.09996	0.25721	0.375013			23.986	
562	35	1832	0.09996	0.33051	0.453973			24.5102	
610	38	1997	0.099945	0.41647	0.539616			24.9791	
658	41	2161	0.099991	0.51624	0.642627			25.3738	
706	44	2327	0.099976	0.63444	0.871386			25.5944	
754	47	2492	0.099976	0.76933	0.901294			25.7813	
802	50	2658	0.099976	0.92172	1.056947			25.9676	
850	53	2824	0.099976	1.09399	1.250355			26.1107	
898	56	2989	0.099976	1.28327	1.424108			26.2959	
946	59	3156	0.099945	1.49706	1.64103			26.4123	
994	62	3322	0.099976	1.73567	1.880943			26.4748	
1026	64	3434	0.099945	1.90554	2.053698			26.5586	
1042	65	3490	0.099945	1.98922	2.139408			26.669	
1090	68	3656	0.099976	2.2769	2.43037			26.7081	
1138	71	3823	0.099976	2.5904	2.746606			26.7578	
1186	74	3990	0.099945	2.93194	3.092405			26.7988	
1234	77	4157	0.099976	3.30289	3.466688			26.8314	
2050	128	7011	0.099976	15.06597	15.282867			27.3791	
4098	256	14239	0.099976	121.4268	121.808868			27.57	

